,duration,id,index,location,match_id,minute,out,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,team,team_id,timestamp,type,under_pressure,shot_follows_dribble,shot_saved_to_post,shot_saved_off_target,shot_redirect
151339,0.250032,ac1e4f3b-8eca-4767-ab93-cb976668bed1,276,"[91.6, 24.8]",3857297,7,,1,From Goal Kick,Mohammed Al Burayk,5191.0,Left Back,17,Saudi Arabia,799,"['55ea3ae7-b7bb-4f4f-a380-fb14205ed5bc', 'd36b29ec-35fb-4484-a12d-4e0a5e9ded0a']",5,,Right Foot,,"[97.4, 28.2]",,"[{'location': [87.0, 31.2], 'player': {'id': 5665, 'name': 'Arkadiusz Milik'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [102.6, 50.4], 'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [99.4, 35.0], 'player': {'id': 11737, 'name': 'Krystian Bielik'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.1, 44.0], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.3, 28.3], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.6, 36.5], 'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.9, 31.7], 'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.4, 17.8], 'player': {'id': 4734, 'name': 'Matty Cash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.4, 19.9], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.1, 38.6], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.2, 23.8], 'player': {'id': 56755, 'name': 'Abdulelah Saad Hameed Al-Malki'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [103.5, 59.7], 'player': {'id': 51710, 'name': 'Saud Abdullah Abdul Hamid'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.1, 42.9], 'player': {'id': 51099, 'name': 'Firas Tariq Nasser Al Albirakan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.1, 36.4], 'player': {'id': 51632, 'name': 'Sami Khalil Al Naji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 31.8], 'player': {'id': 51469, 'name': 'Saleh Khalid Al Shehri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.4, 13.8], 'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",427c7785-9fff-4dd2-ac54-6a2d3b40c47d,,,Blocked,0.012477021,Normal,Open Play,Saudi Arabia,799,00:07:05.596,Shot,,,,,
151340,0.62361,778d8bce-d73d-40e8-b8b3-be21681d9ceb,425,"[105.5, 54.5]",3857297,12,,1,From Free Kick,Mohammed Kanoo,5713.0,Right Defensive Midfield,25,Saudi Arabia,799,['df66a40e-56ed-4401-bee8-1f2484c7c36a'],17,,Right Foot,,"[119.6, 43.2, 2.3]",True,"[{'location': [98.0, 49.0], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.5, 54.9], 'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [111.4, 54.6], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.2, 51.9], 'player': {'id': 11737, 'name': 'Krystian Bielik'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.3, 44.8], 'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.1, 40.9], 'player': {'id': 4734, 'name': 'Matty Cash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.1, 45.0], 'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.9, 35.0], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [119.4, 41.9], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.7, 60.5], 'player': {'id': 51710, 'name': 'Saud Abdullah Abdul Hamid'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.5, 41.5], 'player': {'id': 51632, 'name': 'Sami Khalil Al Naji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [113.3, 43.8], 'player': {'id': 51469, 'name': 'Saleh Khalid Al Shehri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.2, 29.6], 'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",785580d8-d7d0-41cb-83ae-6f944223adda,,,Saved,0.03839731,Normal,Open Play,Saudi Arabia,799,00:12:17.794,Shot,,,,,
151341,0.339811,f2776da6-1f14-4a96-a1be-49a2b4637e28,782,"[111.7, 39.3]",3857297,25,,1,From Corner,Krystian Bielik,11737.0,Right Defensive Midfield,49,Poland,789,"['098ebd00-eb5b-49dc-a6c8-09b7917c562b', '2a95898d-dc71-4c62-ac76-88d37cc8a964', '53a2aa6c-d0d5-4c8c-82b0-cbc892c4a686']",36,True,Head,,"[116.4, 39.4]",,"[{'location': [113.5, 41.2], 'player': {'id': 5715, 'name': 'Ali Albulayhi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.4, 39.5], 'player': {'id': 51469, 'name': 'Saleh Khalid Al Shehri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.4, 79.0], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [119.1, 43.2], 'player': {'id': 56755, 'name': 'Abdulelah Saad Hameed Al-Malki'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.7, 45.6], 'player': {'id': 5713, 'name': 'Mohammed Kanoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 42.0], 'player': {'id': 51099, 'name': 'Firas Tariq Nasser Al Albirakan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 40.5], 'player': {'id': 51094, 'name': 'Abdulelah Al Amri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.8, 39.2], 'player': {'id': 5191, 'name': 'Mohammed Al Burayk'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.6, 55.1], 'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [111.2, 35.4], 'player': {'id': 51710, 'name': 'Saud Abdullah Abdul Hamid'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.6, 43.7], 'player': {'id': 51632, 'name': 'Sami Khalil Al Naji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [119.2, 40.1], 'player': {'id': 5714, 'name': 'Mohammed Khalil Al Owais'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.6, 41.0], 'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.2, 34.2], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [101.0, 56.8], 'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [114.5, 41.7], 'player': {'id': 5665, 'name': 'Arkadiusz Milik'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [113.9, 42.7], 'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [116.0, 38.4], 'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",ce9a636c-9a48-4361-ab53-72f9db098c39,,,Blocked,0.075333446,Normal,Open Play,Poland,789,00:25:36.177,Shot,True,,,,
151342,1.24,a88b2f82-922d-4d1d-b378-62b8fc5ea315,1052,"[108.5, 45.0]",3857297,32,True,1,From Throw In,Saleh Khalid Al Shehri,51469.0,Center Forward,61,Saudi Arabia,799,['e8242451-9d19-47b3-917d-e112534ebd7c'],3,,Head,,"[108.7, 0.1]",,"[{'location': [101.3, 50.4], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.4, 59.5], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.5, 44.1], 'player': {'id': 11737, 'name': 'Krystian Bielik'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [96.9, 34.5], 'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.3, 50.2], 'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.8, 44.1], 'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.8, 38.3], 'player': {'id': 4734, 'name': 'Matty Cash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.4, 41.9], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.5, 47.0], 'player': {'id': 51099, 'name': 'Firas Tariq Nasser Al Albirakan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.3, 64.4], 'player': {'id': 51632, 'name': 'Sami Khalil Al Naji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.0, 60.6], 'player': {'id': 51710, 'name': 'Saud Abdullah Abdul Hamid'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.5, 36.1], 'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",fa697cbf-1564-4abd-837c-c13cf62c434d,,,Wayward,0.044610713,Normal,Open Play,Saudi Arabia,799,00:32:03.579,Shot,,,,,
151343,0.279236,a770890c-7a52-447e-84a3-b7f80c9c1945,1237,"[111.9, 44.7]",3857297,38,,1,From Goal Kick,Piotr Zieliński,5660.0,Center Attacking Midfield,68,Poland,789,['5d090760-a149-4494-a577-39e49044a4d1'],57,,Right Foot,,"[120.0, 41.0, 2.3]",True,"[{'location': [112.5, 50.9], 'player': {'id': 5191, 'name': 'Mohammed Al Burayk'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.9, 61.4], 'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [115.2, 54.5], 'player': {'id': 5715, 'name': 'Ali Albulayhi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 39.6], 'player': {'id': 51094, 'name': 'Abdulelah Al Amri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.1, 46.0], 'player': {'id': 56755, 'name': 'Abdulelah Saad Hameed Al-Malki'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [115.4, 39.4], 'player': {'id': 51710, 'name': 'Saud Abdullah Abdul Hamid'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.7, 41.2], 'player': {'id': 5713, 'name': 'Mohammed Kanoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.8, 43.2], 'player': {'id': 5714, 'name': 'Mohammed Khalil Al Owais'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.4, 34.3], 'player': {'id': 5665, 'name': 'Arkadiusz Milik'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [98.0, 58.9], 'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [118.8, 53.4], 'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.4, 49.7], 'player': {'id': 4734, 'name': 'Matty Cash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",51afec32-b82a-42f6-b701-0be33faf1355,,,Goal,0.23496674,Half Volley,Open Play,Poland,789,00:38:57.658,Shot,,,,,
151344,2.852917,c1d15582-6b8a-427c-91ff-22ed421323e2,1246,"[112.9, 58.5]",3857297,40,True,1,Regular Play,Robert Lewandowski,5668.0,Center Forward,70,Poland,789,['ffd20703-6c98-4b80-801b-67f91a20cacf'],16,,Right Foot,,"[120.0, 3.1]",,"[{'location': [112.8, 54.3], 'player': {'id': 5715, 'name': 'Ali Albulayhi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.6, 47.8], 'player': {'id': 5191, 'name': 'Mohammed Al Burayk'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.8, 41.7], 'player': {'id': 56755, 'name': 'Abdulelah Saad Hameed Al-Malki'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.5, 43.5], 'player': {'id': 5714, 'name': 'Mohammed Khalil Al Owais'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.5, 44.7], 'player': {'id': 51094, 'name': 'Abdulelah Al Amri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 32.3], 'player': {'id': 5665, 'name': 'Arkadiusz Milik'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [105.5, 46.6], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.5, 57.8], 'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",19ddaafd-a23a-403e-abe3-83dfb89aab18,True,,Wayward,0.009729679,Half Volley,Open Play,Poland,789,00:40:16.686,Shot,,,,,
151345,0.430233,7f94d002-d2c9-433a-85f9-7659f5df495f,1313,"[108.1, 40.1]",3857297,45,,1,Other,Salem Mohammed Al Dawsari,5187.0,Left Wing,76,Saudi Arabia,799,['041e4c9b-8cfe-45f7-a9b5-6cde8ddcbcdc'],35,,Right Foot,,"[119.3, 38.3, 0.0]",,,,,,Saved,0.7835,Normal,Penalty,Saudi Arabia,799,00:45:35.582,Shot,,,,,
151346,0.259624,3414bdf4-e20c-4eba-acaa-b45aaca50753,1316,"[112.7, 32.9]",3857297,45,,1,Other,Mohammed Al Burayk,5191.0,Left Back,76,Saudi Arabia,799,['450caffe-45d9-48dc-b963-33e15736902d'],37,,Right Foot,,"[117.5, 36.9, 1.7]",True,"[{'location': [111.9, 44.8], 'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.8, 35.4], 'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.1, 34.4], 'player': {'id': 11737, 'name': 'Krystian Bielik'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.6, 31.0], 'player': {'id': 4734, 'name': 'Matty Cash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.0, 37.2], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.7, 35.2], 'player': {'id': 51632, 'name': 'Sami Khalil Al Naji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [111.4, 36.8], 'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,,Saved,0.35719204,Normal,Open Play,Saudi Arabia,799,00:45:37.141,Shot,,,,,
151347,0.374784,3dbc8916-2a05-4f1e-98b2-35c09c4ccc8e,1736,"[85.9, 24.5]",3857297,50,,2,From Corner,Saud Abdullah Abdul Hamid,51710.0,Left Back,102,Saudi Arabia,799,"['255acad7-1fbd-4ab4-9f48-19ae65d59baa', '6400e7e1-d6d9-4e0e-8a7f-f170ab31c639']",48,,Right Foot,,"[90.7, 26.6]",,"[{'location': [107.8, 66.0], 'player': {'id': 51094, 'name': 'Abdulelah Al Amri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [105.7, 58.5], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.6, 45.8], 'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.8, 50.5], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 50.8], 'player': {'id': 51099, 'name': 'Firas Tariq Nasser Al Albirakan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [117.6, 39.3], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.7, 17.6], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [91.0, 26.6], 'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.1, 37.3], 'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.2, 35.1], 'player': {'id': 5665, 'name': 'Arkadiusz Milik'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.7, 38.5], 'player': {'id': 11737, 'name': 'Krystian Bielik'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.8, 31.6], 'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [96.8, 32.8], 'player': {'id': 4734, 'name': 'Matty Cash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 44.7], 'player': {'id': 5715, 'name': 'Ali Albulayhi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [104.6, 39.7], 'player': {'id': 5713, 'name': 'Mohammed Kanoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [105.1, 37.2], 'player': {'id': 51469, 'name': 'Saleh Khalid Al Shehri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.8, 5.0], 'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.0, 15.9], 'player': {'id': 54144, 'name': 'Nawaf Shaker Al Abid'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [86.1, 52.9], 'player': {'id': 5191, 'name': 'Mohammed Al Burayk'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [92.3, 34.1], 'player': {'id': 56755, 'name': 'Abdulelah Saad Hameed Al-Malki'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",c4ebcc57-56e1-4c33-a9c1-dd41108efe3d,,,Blocked,0.005913877,Normal,Open Play,Saudi Arabia,799,00:05:48.728,Shot,,,,,
151348,2.021556,72e8c103-2a49-41b2-8883-93d0d416b611,1743,"[104.2, 39.3]",3857297,50,,2,From Corner,Mohammed Kanoo,5713.0,Right Defensive Midfield,102,Saudi Arabia,799,['1572aa60-6a56-4a99-b426-45c284a4b7f0'],53,,Right Foot,,"[120.0, 54.1, 0.2]",True,"[{'location': [104.9, 40.5], 'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.2, 29.1], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.1, 38.0], 'player': {'id': 5665, 'name': 'Arkadiusz Milik'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.9, 32.5], 'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [99.6, 37.8], 'player': {'id': 4734, 'name': 'Matty Cash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.5, 45.0], 'player': {'id': 11737, 'name': 'Krystian Bielik'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.6, 46.9], 'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 61.2], 'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.1, 53.4], 'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [88.7, 59.1], 'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [117.5, 40.6], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.8, 13.4], 'player': {'id': 54144, 'name': 'Nawaf Shaker Al Abid'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.6, 33.7], 'player': {'id': 5187, 'name': 'Salem Mohammed Al Dawsari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.3, 34.3], 'player': {'id': 51469, 'name': 'Saleh Khalid Al Shehri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [86.2, 42.0], 'player': {'id': 56755, 'name': 'Abdulelah Saad Hameed Al-Malki'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [86.3, 57.1], 'player': {'id': 5191, 'name': 'Mohammed Al Burayk'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [96.6, 70.7], 'player': {'id': 51094, 'name': 'Abdulelah Al Amri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.3, 52.0], 'player': {'id': 51099, 'name': 'Firas Tariq Nasser Al Albirakan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.3, 40.8], 'player': {'id': 5715, 'name': 'Ali Albulayhi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",2e887d80-27f6-4799-afab-52b34b25910d,,,Off T,0.03705331,Overhead Kick,Open Play,Saudi Arabia,799,00:05:53.945,Shot,,,,,
